ilju_a,ilju_b,케미_점수,케미_타입,종합_분석,연애_스타일,주의_포인트,럭키_데이트,생성시각
甲子(갑자),甲子(갑자),88,데칼코마니 커플,큰 나무(甲)와 차가운 물(子)이 만난 두 사람! 똑같은 에너지가 만나니 말하지 않아도 통하는 텔레파시 시너지가 미쳤어요. 서로의 깊은 생각과 감수성을 누구보다 잘 이해해 주는 소울메이트 각! 한겨울 푸른 나무처럼 고고하면서도 맑은 텐션이 유지되는 갓벽한 조합입니다.,조용한 카페에서 도란도란 대화하거나 서로의 플레이리스트를 공유하는 힙한 바이브. 지적인 대화가 끊이지 않는 찐사랑 모먼트가 가득해요.,둘 다 생각이 너무 많아지면 텐션이 처질 수 있어요! 가끔은 뇌 비우고 신나게 노는 '무지성 데이트'로 활력을 주는 것이 우리 사이 롱런 비결!,"심야 전시회 투어, LP바 데이트",2026-03-06 23:52:23
甲子(갑자),己巳(기사),95,자석 밀착 케미,하늘이 맺어준 갑기합(甲己合) 텐션 실화? 든든한 소나무 A와 영양가 만점 대지 B가 만난 시너지 미쳤다! 차가운 물을 품은 A를 따뜻한 불의 기운을 가진 B가 안아주니 서로가 서로에게 완벽한 온도가 되어주는 찐사랑 세계관이에요. 붙어만 있어도 기운이 채워지는 운명적 소울메이트 각!,서로의 니즈를 찰떡같이 알아채는 섬세한 바이브. 맛집 도장 깨기부터 깊은 대화까지 밸런스 갓벽한 데이트!,서로 너무 편해서 가끔 고집부리는 귀여운 모먼트가 생길 수 있어요. '그럴 수 있지' 한 마디면 텐션 복구 완료!,"루프탑 와인바, 식물원 카페",2026-03-06 23:53:11
甲子(갑자),甲戌(갑술),82,든든한 나무 케미,똑같은 갑(甲) 나무 두 그루가 만나서 숲을 이루는 시너지 미쳤다! 차가운 물(子)을 머금은 A와 따뜻한 흙(戌)을 품은 B가 만나 서로의 부족함을 갓벽하게 채워주는 성장형 커플이에요. 서로 자존감을 수직 상승시켜주는 든든한 지지대 역할을 하니 연애 텐션이 아주 안정적이고 힙하네요!,자기계발도 함께하는 갓생 커플 바이브! 서로의 커리어를 응원하며 맛있는 보양식 먹으러 다니는 건강한 텐션입니다.,둘 다 리더 기질이 있어서 의견 충돌이 생길 땐 '누가 더 잘났나' 대결보다는 '우리가 최고지'라는 마인드로 유연하게 넘어가면 찐사랑 모드 유지!,"등산 후 맛집, 북카페 데이트",2026-03-06 23:53:54
甲子(갑자),己卯(기묘),92,자석 밀당 케미,하늘에서 내려온 갑기합(甲己合) 텐션에 지지는 수생목(水生木) 시너지까지! A의 든든한 나무 기운을 B의 부드러운 땅이 포근하게 안아주는 형국이에요. 서로에게 자석처럼 끌리는 마력이 대박이라 한 번 빠지면 못 헤어나오는 찐사랑 세계관 확정! 풋풋한 새싹 같은 생명력이 넘치는 조합입니다.,몽글몽글하고 귀여운 연애 바이브! 서로 예쁜 카페를 찾아다니거나 아기자기한 소품샵 투어를 하며 소확행을 즐기는 힐링 데이트가 메인이에요.,둘 다 섬세한 감성의 소유자라 가끔은 속마음을 툭 터놓고 말하는 'T' 모먼트가 필요해요! 솔직한 대화 한 스푼이면 관계의 밀도가 더 쫀쫀해질 거예요.,"플라워 원데이 클래스, 피크닉 데이트",2026-03-06 23:54:29
甲子(갑자),甲申(갑신),85,갓생 메이트,시원한 물을 품은 나무 A와 바위 위에서 자라난 강인한 나무 B의 만남! 신자(申子) 합으로 에너지가 쫀쫀하게 엮이는 시너지 미쳤다! 서로의 성장을 자극하는 멋진 파트너이자 텐션 세계관이 일치하는 소울메이트 각이에요. 함께할수록 서로의 아우라가 커지는 폼 미친 조합입니다.,각자의 필드에서 열일하다가 만나서 힙한 팝업 스토어나 핫플을 털고 다니는 쿨하고 세련된 바이브! 서로의 커리어를 리스펙하는 멋쁨 터지는 연애예요.,둘 다 에너지가 넘쳐서 가끔은 말하지 않아도 쉬어가는 타임이 필요해요! 정적인 공간에서 멍 때리는 시간을 공유하면 케미가 더 딥해질 거예요.,"팝업 스토어 투어, 한강 러닝, 재즈바",2026-03-06 23:55:05
甲子(갑자),己丑(기축),98,자석 밀착 케미,"하늘에서는 갑기합(甲己合), 땅에서는 자축합(子丑合)! 위아래로 갓벽하게 엮인 역대급 시너지 미쳤다! 차가운 물을 품은 소나무 A를 따뜻한 대지 B가 포근하게 품어주는 텐션 세계관이에요. 서로가 서로에게 유일한 안식처가 되어주는 운명적 소울메이트 각! 한 번 감기면 절대 못 빠져나오는 찐사랑 확정입니다.",세상 사람들 아무도 모르는 우리만의 아지트에서 꽁냥거리는 바이브. 안정감 쩌는 편안함 속에 묘한 설렘이 폭발하는 밀당 제로 연애예요.,서로 너무 찰떡이라 가끔 세상과 단절될 수 있음 주의! 가끔은 밖으로 나가 친구들과 섞여 노는 에너지를 수혈해주면 텐션이 더 힙해질 거예요.,"홈시네마 정주행, 호캉스, 심야 드라이브",2026-03-06 23:55:41
甲子(갑자),甲午(갑오),72,냉온탕 반전 케미,"깊은 밤의 차분한 지성 A와 정오의 뜨거운 열정 B가 만난 성장형 커플! 서로 다른 에너지의 정점을 찍고 있어서 만나기만 하면 텐션 세계관이 요동쳐요. 물과 불의 만남처럼 서로의 온도 차이가 극명하지만, 그만큼 서로의 부족한 바이브를 가장 화끈하게 채워줄 수 있는 시너지 미쳤다!",차분한 독서 데이트와 액티브한 러닝을 오가는 극과 극 바이브. 서로의 다른 취향을 ‘찍먹’해보는 재미가 쏠쏠한 연애예요.,A의 쿨함과 B의 핫함이 부딪힐 땐 잠시 쿨타임을 가져보세요! 서로의 속도 차이를 리스펙하는 순간 찐사랑 모드 무한 로딩!,"워터파크, 심야 영화 정주행",2026-03-06 23:56:27
甲子(갑자),己亥(기해),94,운명적 껌딱지,"천간의 갑기합(甲己合)으로 서로에게 자석처럼 끌리고, 지지에서는 수(水) 에너지가 촉촉하게 흐르는 찐사랑 세계관! A의 든든한 나무 기운을 B의 비옥한 땅이 부드럽게 감싸주니 안정감이 미쳤다! 서로가 서로를 성장시키는 시너지 폭발 조합이라 같이만 있어도 운지수가 수직 상승하는 소울메이트 각입니다.",포근하고 몽글몽글한 힐링 바이브. 굳이 말하지 않아도 마음이 통하는 텔레파시 연애라 같이 맛집 투어만 해도 도파민 터지는 스타일이에요.,둘 다 수(水) 기운이 낭낭해서 가끔 감성 과부하가 올 수 있음! 그럴 땐 햇살 좋은 곳에서 광합성 데이트로 텐션을 UP해주면 갓벽한 케미 유지!,"오션뷰 카페, 야간 드라이브",2026-03-06 23:57:02
甲子(갑자),甲辰(갑진),92,든든한 팀케미,"큰 나무 두 그루가 만나 숲을 이루는 갓벽한 서사! 갑자님이 깊은 감성으로 뿌리를 적셔주면, 갑진님이 단단한 땅이 되어 무한 성장을 서포트하는 구조예요. 서로 같은 기운이라 말 안 해도 통하는 찐텐션이 폭발하고, 함께할수록 서로의 운빨을 끌어올려 주는 시너지 미친 조합입니다.",서로의 비전과 야망을 응원하는 '갓생' 커플 바이브! 힙한 전시회를 보러 가거나 자기계발을 함께하며 서로에게 긍정적인 자극을 주는 소울메이트 스타일이에요.,둘 다 주관이 확실한 편이라 가끔 고집 배틀이 붙을 수 있어요. '누가 맞나'보다 '우리가 어떻게 더 행복할까'에 집중하면 텐션 유지 쌉가능!,"루프탑 바, 대형 라이브러리, 성수동 팝업스토어",2026-03-06 23:57:57
甲子(갑자),己酉(기유),88,자석 밀당 케미,큰 나무 갑자님과 비옥한 땅 기유님이 만난 '갑기합' 세계관! 서로를 끌어당기는 자석 같은 인력이 미쳤어요. 갑자님의 퓨어한 감성을 기유님의 섬세한 현실감이 꽉 잡아주니 안정감 대박이죠. 서로 결이 다르면서도 묘하게 스며드는 텐션이라 한 번 빠지면 못 헤어 나오는 중독성 갑 궁합!,겉으로는 쿨해 보여도 속으로는 서로만 보는 찐사랑 바이브. 은근한 소유욕이 섞인 알콩달콩한 밀당이 데이트의 묘미예요.,가끔은 솔직한 'T'적 모먼트보다 'F'스러운 리액션 한 스푼이 필요해요. 서로의 선을 존중하며 부드럽게 소통하면 시너지 폭발!,"LP 바 청음, 야경 드라이브, 오마카세 데이트",2026-03-06 23:58:34
